id,name,address,city,postcode,country,phone_nr,dob
dad195b9-76f8-4527-9d42-143b26049d95,Catherine Smart,469 Hughes court,Laurahaven,W60 5DH,United Kingdom,(0116) 496 0842,2005-05-29
1be6e460-43c5-44eb-854d-04d167557fc4,Gregory Clark,"Flat 20, Marie plains",Bellshire,PE4 1NW,United Kingdom,(0118)4960047,1998-04-12
5562f9eb-76bd-4062-9d81-50365e6098f0,Miss Lisa Townsend,3 Young lock,Ahmedport,IG7 1LU,United Kingdom,+44(0)191 4960174,2007-08-29
22076904-4740-4df9-a250-c1e92c067cfc,Dr Rosemary Cameron,14 Preston fork,East Shannon,LD95 6YF,United Kingdom,3 069 990 517,1963-12-09
32f6adf9-5063-4378-a7b6-74783228f2bd,Henry Chandler,"Flat 88, Teresa wells",Matthewmouth,M15 9XX,United Kingdom,+44(0)1214960234,1968-03-18
128c67eb-a9dc-4fbb-897e-420e9a84ca38,Carolyn Newton,6 Hayley plains,O'Neillville,EN1 3UT,United Kingdom,(0121)4960931,1932-03-31
7d063d07-3ae4-4fad-b05d-6f3aa67f0369,Jayne Johnson,"Flat 4, Henry crossing",Margaretland,WR50 7FN,United Kingdom,4.43E+11,2010-05-20
96bd6d2e-55d2-43c6-9510-abe161bb2bb8,Mr Frederick Price,"Flat 3, Powell glen",West Colinmouth,W8 0DR,United Kingdom,+44(0)2074960196,2014-12-14
38e75859-c9ec-4e6e-ac7e-5a1155cb8f8f,Alice Jones,8 Frederick trail,East Jenna,PO56 7XQ,United Kingdom,(0113) 496 0406,1940-02-19
54b10309-0c91-4198-a192-42809a5d7cae,Liam Bishop,876 Jessica roads,Whittakermouth,E1 8AQ,United Kingdom,1 144 960 305,1966-12-12
01726bbd-04b1-4d47-a55f-31b45e8a8797,Alex Kent,0 Bethan circle,Lake Donaldhaven,B2 8ZD,United Kingdom,1144960533,2008-03-11
0fcb4f3a-3b68-4390-8e1c-adf01d70ad8b,Cesare Papafava-Maglio,"Piazza Gozzi, 21",Peroulaz,20010,Italy,39 355 745 086,1971-12-03
7a5280cc-c8b0-47b2-93ae-888f245784bc,Benvenuto Beffa,"Borgo Roccabonella, 7",Pratrivero,41036,Italy,57714813,2018-06-21
11f853e7-c228-49b1-9a1a-e0ca73987ce4,Beatrice Leblanc-Conte,"Piazza Irma, 76",Niviano Castello,87036,Italy,3514415096,1949-04-23
0d1f7828-25c4-4f27-9094-0cbc1bc50177,Rocco Greggio,"Canale Ferrante, 6 Appartamento 9",Comenduno,84068,Italy,371505398,1930-01-06
d1793eb9-39b8-4e7b-84a1-b4a99158f723,Sig.ra Ida Pizziol,"Piazza Antonio, 897",Walten,12080,Italy,3 903 653 993 732,1947-01-01
d2494220-5297-4483-b504-f6c9b206cc52,Alessandra Nugnes,"Rotonda Tamburini, 7",Muris Di Ragogna,66026,Italy,39 078 341 913,1964-08-23
a7b50873-4084-40d3-b35f-f5fba2c621b1,Amico Valier,"Viale Cattaneo, 985",San Leucio,66043,Italy,53262140,1956-10-17
af9d5e9a-cb4e-4db1-b98f-9ddf90090d5a,Cirillo Rizzoli-Parpinel,"Rotonda Leonetti, 45",Bottagna,20044,Italy,390 931 159 636,1973-10-09
355cf81d-e85b-4371-aa6c-d6c0be95ecdd,Natalia Curatoli-Brunello,"Contrada Gioachino, 173 Piano 4",Sordio,6064,Italy,323748007,2012-08-04
869f8cdd-595d-4ff0-9af1-ecfb81601dd7,Mara Gheorghiu,Drumul Stoica Nr. 47 Bl. 96 Sc. 20 Ap. 418,Negresti,336585,Romania,749 161 945,1999-05-21
db1dcb1a-5b6a-4db3-87dc-8a851c5baa62,Gheorghe Florea,Strada Nistor Nr. 72 Bl. 57 Sc. 54 Ap. 761,Rasnov,611065,Romania,739 481 075,1996-09-11
9e87cb4f-033b-4ed6-93b5-e9730b2f6207,Victor Albu,Strada Ionescu,Campulung,494011,Romania,734 302 483,1983-12-20
2fdbc3e0-2f24-45cd-bd9e-5ac22feb4c8a,Dalia Stan,Aleea Popescu Nr. 490 Bl. 11 Sc. 40 Ap. 894,Moldova Veche,532624,Romania,728 661 115,1993-09-18
c5297e2e-6cba-401c-95b7-6750d6bf3263,Dalia Dinu,Strada Diaconu,Modelu,176592,Romania,249 652 990,1924-06-23
51598151-ee6f-4ae1-b001-30a791381aad,Michael Thompson,3623 Smith River,Brendaview,2144,United States,+1-(214)910-6067,1930-03-14
209f42bb-0616-416a-8257-f5b028184132,Robert Burton,76046 Tara Stravenue,Cynthiashire,84410,United States,+1-605-531-3391x7105,1959-06-25
c619c494-4b03-4f67-b98c-915c0f0e858e,Pamela Mosley MD,4512 Tiffany Parkway,Lake Rodneytown,99276,United States,-10011,1969-02-10
ca033fa4-2cc5-43dd-bb63-9c95c72bddf1,Paul Jensen,081 Oconnell Glen,North Jamesfurt,25039,United States,-9497,2002-03-26
c85717c3-7f5d-4630-83fc-6310b6722c5d,Nathan Miller,0804 Michael Drives,West Eric,58401,United States,+1-772.734.6312x3374,1954-09-25
e1c63f4d-3373-46fb-932a-bf0eac67a54a,Marissa Crawford,705 Berry Lake,New Brittneychester,88408,United States,+1-(845)846-0017x2957,1966-02-01
bf825975-3365-4cec-9a31-d7cc3535f225,Nicole Sanchez,877 John Freeway,West Peter,18354,United States,+1-(746)685-5856x5066,1990-10-30
478f46d6-2207-418c-bcb6-460647cfa052,Jessica Jones,433 Sharon Vista,Montoyaville,3938,United States,+1-856-336-6760x09013,1947-04-30
